wage_eur,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_reactions,movement_balance,power_shot_power,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_sliding_tackle
565000,88,95,70,92,88,97,93,94,92,96,91,84,95,95,86,75,68,94,48,94,75,96,33,26
405000,84,94,89,83,87,89,81,76,77,92,89,91,96,71,95,85,78,93,63,82,85,95,28,24
290000,87,87,62,87,87,96,88,87,81,95,94,89,92,84,80,81,49,84,51,90,90,94,27,29
125000,13,11,15,43,13,12,13,14,40,30,43,60,88,49,59,41,78,12,34,65,11,68,27,18
470000,81,84,61,89,83,95,83,79,83,94,94,88,90,94,82,84,63,80,54,89,88,91,34,22
370000,93,82,55,92,82,86,85,83,91,91,77,76,91,76,91,89,74,90,76,94,79,91,68,51
250000,18,14,11,61,14,21,18,12,63,30,38,50,86,43,66,35,78,10,43,70,25,70,25,10
200000,53,52,86,78,45,70,60,70,81,76,74,79,88,53,81,75,92,64,82,65,62,89,91,85
340000,86,72,55,92,76,87,85,78,88,92,77,71,89,93,79,85,58,82,62,91,82,92,68,71
240000,79,90,59,84,79,89,83,69,75,89,94,92,92,88,80,85,73,84,63,84,77,91,38,41
155000,78,89,77,82,79,91,79,63,70,90,96,96,89,83,83,84,76,79,62,80,70,84,34,32
150000,30,22,83,71,14,69,28,28,63,71,69,73,86,41,55,73,95,15,87,52,33,82,91,87
220000,75,94,86,81,85,80,78,68,83,84,68,72,91,73,90,87,84,86,78,81,90,91,56,38
155000,17,13,19,45,20,27,19,18,44,30,56,47,88,37,64,32,78,14,27,66,23,65,15,16
205000,17,13,21,50,13,18,21,19,47,38,57,58,87,43,61,43,60,12,38,65,29,68,25,13
235000,68,65,54,86,56,79,49,49,81,80,79,77,93,92,71,97,73,63,90,79,54,85,90,85
215000,54,33,83,65,45,59,60,31,65,61,61,73,82,57,78,59,89,49,91,50,50,84,94,89
300000,70,93,78,83,85,88,83,73,64,89,82,78,92,91,89,79,74,84,65,83,83,90,30,24
300000,66,63,92,80,69,65,74,72,83,83,74,71,87,66,79,80,85,62,90,71,86,84,85,90
355000,78,91,83,82,90,85,86,82,72,84,76,70,92,79,88,82,86,86,87,82,83,85,57,38
235000,62,88,85,82,88,85,77,85,65,88,77,77,90,82,87,78,84,84,81,77,86,86,34,19
300000,62,67,68,89,44,80,66,68,82,88,40,43,87,49,61,86,77,54,85,86,60,93,90,80
370000,83,89,84,85,87,88,86,85,82,90,82,81,92,83,82,87,63,83,73,86,86,89,59,49
215000,82,80,64,87,88,90,88,88,75,93,86,81,84,85,80,79,61,86,48,87,86,84,32,40
250000,80,75,75,86,84,87,85,82,90,90,67,79,82,66,90,87,89,82,78,88,83,87,63,65
185000,20,14,14,56,18,23,15,20,58,40,64,63,87,48,70,41,68,18,38,70,17,70,29,8
255000,78,83,38,84,67,89,75,63,69,88,96,91,89,94,76,79,54,77,38,79,69,79,47,47
205000,88,77,52,91,80,81,89,86,89,91,75,71,88,80,84,93,57,89,46,92,67,88,59,22
235000,14,14,13,33,12,13,19,20,35,23,46,52,83,45,54,38,70,17,23,44,27,66,20,16
285000,57,65,85,83,57,63,58,43,81,82,48,63,85,36,62,70,87,51,76,72,69,87,89,87
110000,12,10,10,36,12,12,12,14,34,16,51,55,83,36,52,41,71,19,25,41,23,69,25,13
155000,15,13,25,55,11,30,14,11,59,46,54,60,84,35,68,43,80,16,29,70,47,70,17,11
150000,13,10,10,50,11,10,11,10,50,34,65,62,86,54,51,41,43,14,31,30,40,65,29,18
265000,84,72,54,92,82,87,82,77,84,92,69,61,89,88,72,73,48,73,57,91,75,92,59,29
195000,70,88,89,78,90,79,77,76,52,81,74,76,91,59,88,91,79,79,84,77,85,80,57,39
135000,52,42,88,79,47,53,49,49,70,74,61,60,81,53,67,65,89,43,88,52,50,82,90,87
330000,88,75,58,91,82,80,86,84,92,89,50,41,87,71,87,74,73,86,60,89,73,88,72,62
170000,82,87,49,86,90,87,89,86,77,88,85,85,87,84,88,76,67,87,51,86,90,85,49,45
205000,76,89,78,77,86,79,80,74,64,82,93,95,87,69,82,78,74,79,43,77,76,85,27,36
220000,74,87,81,81,75,89,76,64,71,87,95,93,90,86,84,85,67,77,75,83,71,84,42,38
195000,58,45,86,81,40,63,61,69,80,77,61,66,87,60,68,78,85,47,79,65,44,85,88,88
210000,85,78,51,86,69,92,84,67,74,92,85,78,85,92,74,93,54,75,69,85,68,87,49,40
240000,58,64,76,83,61,69,63,74,82,78,58,66,86,66,86,88,90,81,89,77,66,84,84,86
185000,81,86,65,83,81,88,85,70,70,87,86,89,89,76,88,87,62,90,60,81,71,87,48,33
200000,68,69,66,86,74,77,70,72,83,82,68,64,89,77,83,79,76,78,87,78,61,81,87,80
135000,60,40,81,80,61,67,62,61,80,80,60,64,82,67,71,71,81,65,76,70,60,86,88,85
285000,75,84,83,85,83,86,81,73,72,90,78,74,85,69,82,79,80,76,65,86,82,87,47,18
155000,72,56,80,79,52,71,66,70,74,77,60,65,85,60,80,75,79,66,84,68,66,84,89,88
135000,79,86,40,82,70,91,82,79,74,89,93,83,88,92,80,73,39,81,59,83,79,81,25,40
130000,64,55,87,81,60,68,65,53,85,81,46,55,87,59,71,65,85,51,71,79,68,89,90,86
155000,64,45,82,79,38,62,63,69,85,75,61,66,87,50,78,78,79,58,81,62,58,86,90,86
240000,87,73,70,84,60,81,80,63,79,85,91,90,85,85,64,92,61,66,77,78,59,82,74,84
180000,78,69,54,90,86,90,85,77,87,91,76,64,86,88,76,75,59,79,56,86,75,87,67,71
195000,11,15,11,30,11,16,11,15,37,19,54,53,84,61,56,39,75,13,32,68,25,67,28,14
140000,86,77,59,87,74,90,87,77,78,93,94,85,84,93,79,72,40,85,34,89,68,83,49,22
195000,83,81,72,80,85,88,83,82,64,85,93,96,81,80,87,78,70,78,61,82,71,80,36,35
120000,68,33,84,82,31,64,55,32,82,79,72,76,85,68,61,76,75,35,80,68,47,86,86,87
89000,40,42,82,73,40,67,34,30,69,69,70,69,83,51,50,75,85,30,86,57,56,81,92,83
140000,75,60,55,90,64,90,74,64,89,89,69,61,85,94,56,77,52,58,89,87,64,95,78,83
210000,61,51,79,80,65,64,72,62,73,77,66,72,82,66,83,71,86,74,82,58,61,82,87,85
135000,12,12,16,32,14,11,16,14,36,22,51,47,82,51,55,45,65,14,40,48,18,65,20,12
125000,91,66,74,87,67,83,85,61,85,85,77,68,87,84,76,94,66,71,86,84,44,85,78,79
245000,78,79,55,84,67,92,88,76,80,93,74,68,76,90,69,62,59,84,58,87,76,86,58,51
170000,72,85,78,86,81,88,80,65,76,88,78,77,86,81,81,88,74,76,73,86,72,88,60,42
245000,84,78,59,86,84,80,88,82,90,87,64,61,80,62,84,79,71,85,67,85,82,80,76,72
180000,80,56,60,91,72,86,86,92,87,89,69,67,84,81,78,79,61,82,70,88,79,86,78,70
150000,86,76,51,83,77,87,88,88,80,86,85,84,82,77,83,78,60,84,73,86,73,84,41,52
160000,44,48,84,77,58,69,56,61,85,75,55,60,84,55,74,68,82,65,82,74,70,86,90,80
175000,79,77,48,84,78,90,90,86,82,91,84,75,82,93,82,76,61,88,59,86,70,77,55,47
69000,84,80,61,91,72,79,89,90,88,85,49,35,78,72,79,76,71,82,58,86,83,85,69,65
170000,79,87,81,81,84,75,81,59,72,82,69,75,91,71,78,86,67,80,61,85,60,84,44,46
105000,55,87,81,74,85,83,70,51,49,83,76,83,87,63,86,79,73,80,77,65,78,81,34,32
